full_names	species	clades	nb_rnaseq
Equus_asinus	Equus_asinus	Equus asinus	Mammalia	34
Equus_caballus	Equus_caballus	Equus caballus	Mammalia	19
Eragrostis_curvula	Eragrostis_curvula	Eragrostis curvula	Embryophyta	2
Erinaceus_europaeus	Erinaceus_europaeus	Erinaceus europaeus	Mammalia	2
Erythranthe_guttata	Erythranthe_guttata	Erythranthe guttata	Embryophyta	50
Erythrura_gouldiae	Erythrura_gouldiae	Erythrura gouldiae	Aves	9
Eucalyptus_grandis	Eucalyptus_grandis	Eucalyptus grandis	Embryophyta	50
Eudyptes_filholi	Eudyptes_filholi	Eudyptes filholi	Aves	4
Eufriesea_mexicana	Eufriesea_mexicana	Eufriesea mexicana	Hymenoptera	1
Eumeta_japonica	Eumeta_japonica	Eumeta japonica	Lepido Diptera	8
Eurytemora_affinis	Eurytemora_affinis	Eurytemora affinis	Other Invertebrates	50
Eutrema_salsugineum	Eutrema_salsugineum	Eutrema salsugineum	Embryophyta	50
Exaiptasia_diaphana	Exaiptasia_diaphana	Exaiptasia diaphana	Other Invertebrates	50
Felis_catus	Felis_catus	Felis catus	Mammalia	3
Fragaria_vesca	Fragaria_vesca	Fragaria vesca	Embryophyta	50
Fundulus_heteroclitus	Fundulus_heteroclitus	Fundulus heteroclitus	Teleostei	50
Gadus_morhua	Gadus_morhua	Gadus morhua	Teleostei	50
Gallus_gallus	Gallus_gallus	Gallus gallus	Aves	217
Gekko_japonicus	Gekko_japonicus	Gekko japonicus	Other Vertebrates	7
Gigantopelta_aegis	Gigantopelta_aegis	Gigantopelta aegis	Other Invertebrates	37
Glossina_fuscipes	Glossina_fuscipes	Glossina fuscipes	Lepido Diptera	9
Glycine_max	Glycine_max	Glycine max	Embryophyta	50
Glycine_soja	Glycine_soja	Glycine soja	Embryophyta	50
Gopherus_evgoodei	Gopherus_evgoodei	Gopherus evgoodei	Other Vertebrates	5
Gorilla_gorilla	Gorilla_gorilla	Gorilla gorilla	Mammalia	50
Gossypium_arboreum	Gossypium_arboreum	Gossypium arboreum	Embryophyta	50
Gossypium_armourianum	Gossypium_armourianum	Gossypium armourianum	Embryophyta	2
Gossypium_australe	Gossypium_australe	Gossypium australe	Embryophyta	33
Gossypium_barbadense	Gossypium_barbadense	Gossypium barbadense	Embryophyta	50
Gossypium_darwinii	Gossypium_darwinii	Gossypium darwinii	Embryophyta	8
Gossypium_davidsonii	Gossypium_davidsonii	Gossypium davidsonii	Embryophyta	41
Gossypium_hirsutum	Gossypium_hirsutum	Gossypium hirsutum	Embryophyta	50
Gossypium_klotzschianum	Gossypium_klotzschianum	Gossypium klotzschianum	Embryophyta	11
Gossypium_raimondii	Gossypium_raimondii	Gossypium raimondii	Embryophyta	50
Gossypium_trilobum	Gossypium_trilobum	Gossypium trilobum	Embryophyta	37
Grammomys_surdaster	Grammomys_surdaster	Grammomys surdaster	Mammalia	4
Gymnodraco_acuticeps	Gymnodraco_acuticeps	Gymnodraco acuticeps	Teleostei	50
Gymnogyps_californianus	Gymnogyps_californianus	Gymnogyps californianus	Aves	13
Habropoda_laboriosa	Habropoda_laboriosa	Habropoda laboriosa	Hymenoptera	1
Halichoerus_grypus	Halichoerus_grypus	Halichoerus grypus	Mammalia	32
Haliotis_rufescens	Haliotis_rufescens	Haliotis rufescens	Other Invertebrates	50
Halyomorpha_halys	Halyomorpha_halys	Halyomorpha halys	Other Insecta	6
Handroanthus_impetiginosus	Handroanthus_impetiginosus	Handroanthus impetiginosus	Embryophyta	1
Harpegnathos_saltator	Harpegnathos_saltator	Harpegnathos saltator	Hymenoptera	166
Helianthus_annuus	Helianthus_annuus	Helianthus annuus	Embryophyta	50
Hermetia_illucens	Hermetia_illucens	Hermetia illucens	Lepido Diptera	50
Herrania_umbratica	Herrania_umbratica	Herrania umbratica	Embryophyta	6
Heterocephalus_glaber	Heterocephalus_glaber	Heterocephalus glaber	Mammalia	54
Hevea_brasiliensis	Hevea_brasiliensis	Hevea brasiliensis	Embryophyta	50
Hibiscus_syriacus	Hibiscus_syriacus	Hibiscus syriacus	Embryophyta	4
Hirundo_rustica	Hirundo_rustica	Hirundo rustica	Aves	6
Homarus_americanus	Homarus_americanus	Homarus americanus	Other Invertebrates	50
Homo_sapiens	Homo_sapiens	Homo sapiens	Mammalia	313
Hydra_vulgaris	Hydra_vulgaris	Hydra vulgaris	Other Invertebrates	50
Ignelater_luminosus	Ignelater_luminosus	Ignelater luminosus	Other Insecta	7
Ipomoea_nil	Ipomoea_nil	Ipomoea nil	Embryophyta	27
Ipomoea_triloba	Ipomoea_triloba	Ipomoea triloba	Embryophyta	29
Ixodes_scapularis	Ixodes_scapularis	Ixodes scapularis	Other Invertebrates	46
Jatropha_curcas	Jatropha_curcas	Jatropha curcas	Embryophyta	50
Juglans_regia	Juglans_regia	Juglans regia	Embryophyta	50
Lactuca_saligna	Lactuca_saligna	Lactuca saligna	Embryophyta	3
Lamprotornis_superbus	Lamprotornis_superbus	Lamprotornis superbus	Aves	34
Lates_calcarifer	Lates_calcarifer	Lates calcarifer	Teleostei	50
Lepeophtheirus_salmonis	Lepeophtheirus_salmonis	Lepeophtheirus salmonis	Other Invertebrates	50
Lepidothrix_coronata	Lepidothrix_coronata	Lepidothrix coronata	Aves	7
Leptinotarsa_decemlineata	Leptinotarsa_decemlineata	Leptinotarsa decemlineata	Other Insecta	21
Leptonychotes_weddellii	Leptonychotes_weddellii	Leptonychotes weddellii	Mammalia	7
Linepithema_humile	Linepithema_humile	Linepithema humile	Hymenoptera	23
Lingula_anatina	Lingula_anatina	Lingula anatina	Other Invertebrates	17
Loa_loa	Loa_loa	Loa loa	Nematoda	1
Lonchura_striata	Lonchura_striata	Lonchura striata	Aves	29
Loxodonta_africana	Loxodonta_africana	Loxodonta africana	Mammalia	23
Lucilia_cuprina	Lucilia_cuprina	Lucilia cuprina	Lepido Diptera	23
Lupinus_albus	Lupinus_albus	Lupinus albus	Embryophyta	50
Lupinus_angustifolius	Lupinus_angustifolius	Lupinus angustifolius	Embryophyta	50
Lynx_canadensis	Lynx_canadensis	Lynx canadensis	Mammalia	2
Lynx_pardinus	Lynx_pardinus	Lynx pardinus	Mammalia	12
Macaca_mulatta	Macaca_mulatta	Macaca mulatta	Mammalia	177
Macleaya_cordata	Macleaya_cordata	Macleaya cordata	Embryophyta	11
Macrostomum_lignano	Macrostomum_lignano	Macrostomum lignano	Other Invertebrates	50
Malaclemys_terrapin	Malaclemys_terrapin	Malaclemys terrapin	Other Vertebrates	50
Malus_baccata	Malus_baccata	Malus baccata	Embryophyta	21
Malus_domestica	Malus_domestica	Malus domestica	Embryophyta	50
Mamestra_configurata	Mamestra_configurata	Mamestra configurata	Lepido Diptera	12
Manihot_esculenta	Manihot_esculenta	Manihot esculenta	Embryophyta	50
